ID,bulkdens,Lat,Lon,Ortho,Salinity,DomVeg,Core,Ht,B,Sa,Se,Sp,Iva,Lm,Ss,Sl,Ds,Richness,LOI,Site,perOM,OM,percC,PolyEqC,adjustedC,less10,NEAR_FC,BarrDist,MainDist,carbon
155,0.64075612,37.54476325,-75.68280573,0.50726584,52,Se,Y,NA,5,45,47,0,0,3,0,0,0,3,271,P,0.0596,5.96,2.2699104,1.454458981,0.01454459,,BarrierCoast_1,3602.147536,3888.355212,0.038189065
156,0.515662008,37.53543825,-75.67374795,0.402635,46,Sa,Y,NA,0,100,0,0,0,0,0,0,0,1,254,P,0.078699155,7.8699155,3.081710192,1.589120865,0.015891209,,BarrierCoast_1,2435.080421,5171.537482,0.040582164
157,0.719864678,37.53541346,-75.67363951,0.44762005,42,Sa,Y,NA,0,80,20,0,0,0,0,0,0,2,276,P,0.078192181,7.8192181,3.060020135,2.202800409,0.022028004,,BarrierCoast_1,2425.338541,5180.968174,0.056287789
158,0.444157563,37.53530463,-75.67361253,0.4511259,40,Sa,Y,NA,5,90,5,0,0,0,0,0,0,2,132,P,0.085634212,8.5634212,3.379189465,1.500892558,0.015008926,,BarrierCoast_1,2417.5066,5189.009342,0.038035083
159,0.588790381,37.53526546,-75.67348781,0.46984587,55,Se,Y,NA,0,15,85,0,0,0,0,0,0,2,277,P,0.0797,7.97,3.12455235,1.839706369,0.018397064,,BarrierCoast_1,2405.740709,5200.793273,0.046926593
163,0.747110604,37.53079387,-75.68456653,0.08422714,36,Sa,Y,NA,40,60,0,0,0,0,0,0,0,1,229,P,0.059282215,5.9282215,2.256495668,1.685851841,0.016858518,,BarrierCoast_1,2945.308082,4575.487996,0.044290371
164,0.557755287,37.53070952,-75.68455877,0.01496924,35,Sa,Y,NA,40,60,0,0,0,0,0,0,0,1,230,P,0.066866567,6.6866567,2.577482371,1.437604419,0.014376044,,BarrierCoast_1,2940.19918,4580.699712,0.037295181
165,0.587527325,37.53073355,-75.68447449,-0.035479,31,Sa,Y,NA,50,50,0,0,0,0,0,0,0,1,157,P,0.08225758,8.225758,3.234168601,1.900162427,0.019001624,,BarrierCoast_1,2934.952346,4585.866455,0.048328576
166,0.300272268,37.51827903,-75.69725435,0.00794855,NA,TSa,Y,NA,30,70,0,0,0,0,0,0,0,1,156,P,0.099619924,9.9619924,3.983495466,1.196133218,0.011961332,,BarrierCoast_1,3701.296131,4276.662104,0.029913101
168,0.436682333,37.51837226,-75.69729761,0.09985915,33,TSa,Y,NA,25,75,0,0,0,0,0,0,0,1,155,P,0.094570226,9.4570226,3.764627152,1.643946168,0.016439462,,BarrierCoast_1,3705.224781,4267.838446,0.041297147
